age,typeof_contact,city_tier,duration_of_pitch,occupation,gender,number_of_person_visiting,number_of_followups,product_pitched,preferred_property_star,number_of_trips,passport,pitch_satisfaction_score,designation,monthly_income,prod_taken,marital_status,car_ownership,children
56.0,Company Invited,2,900.0,Salaried,male,1.0,3.0,super deluxe,3.0,1.0,0,3,avp,431265.0,0,Married,Car Ownership,No Children
30.0,Self Enquiry,2,960.0,Salaried,male,1.0,3.0,basic,3.0,2.0,0,4,executive,250275.0,0,Divorced,Car Ownership,No Children
41.0,Company Invited,2,,Salaried,male,1.0,3.0,deluxe,3.0,1.0,0,4,manager,303345.0,0,Married,No Car Ownership,No Children
,Self Enquiry,1,,Salaried,female,1.0,3.0,deluxe,3.0,1.0,0,4,manager,256845.0,0,Single,Car Ownership,No Children
50.0,Company Invited,1,840.0,Salaried,female,1.0,3.0,standard,3.0,2.0,0,3,senior manager,368940.0,0,Unmarried,Car Ownership,No Children
52.0,Self Enquiry,1,1020.0,Salaried,female,1.0,3.0,super deluxe,3.0,4.0,0,3,avp,456405.0,0,Married,Car Ownership,No Children
22.0,Self Enquiry,2,600.0,Salaried,male,1.0,3.0,basic,3.0,1.0,0,4,executive,258885.0,1,Single,Car Ownership,No Children
36.0,Company Invited,2,900.0,Salaried,female,1.0,3.0,deluxe,3.0,1.0,1,3,manager,316680.0,0,Married,Car Ownership,No Children
52.0,Self Enquiry,3,1920.0,Salaried,female,1.0,3.0,super deluxe,3.0,2.0,1,5,avp,500000.0,0,Divorced,Car Ownership,No Children
46.0,Company Invited,3,480.0,Salaried,male,1.0,3.0,standard,3.0,5.0,1,4,senior manager,359730.0,0,Unmarried,Car Ownership,No Children
30.0,Company Invited,2,900.0,Salaried,female,1.0,3.0,standard,3.0,2.0,1,3,senior manager,410000.0,0,Married,Car Ownership,No Children
28.0,Self Enquiry,1,540.0,Salaried,female,1.0,3.0,basic,3.0,5.0,1,3,executive,270000.0,0,Single,Car Ownership,No Children
25.0,Self Enquiry,2,840.0,Salaried,male,1.0,3.0,basic,3.0,2.0,1,4,executive,255405.0,1,Single,Car Ownership,No Children
60.0,Company Invited,1,1560.0,Small Business,female,1.0,4.0,super deluxe,3.0,1.0,0,2,avp,485055.0,0,Single,Car Ownership,No Children
50.0,Self Enquiry,3,780.0,Salaried,female,1.0,4.0,standard,4.0,5.0,0,1,senior manager,370000.0,0,Unmarried,Car Ownership,No Children
48.0,Company Invited,1,720.0,Salaried,female,1.0,4.0,standard,3.0,2.0,0,1,senior manager,401775.0,0,Unmarried,Car Ownership,No Children
50.0,Company Invited,1,480.0,Small Business,female,1.0,5.0,standard,3.0,4.0,0,3,senior manager,477000.0,0,Married,Car Ownership,No Children
38.0,Company Invited,2,840.0,Salaried,male,1.0,3.0,standard,3.0,1.0,0,2,senior manager,378210.0,1,Married,Car Ownership,No Children
60.0,Self Enquiry,2,840.0,Large Business,female,1.0,3.0,basic,3.0,2.0,0,2,executive,248490.0,1,Single,Car Ownership,No Children
42.0,Company Invited,2,600.0,Salaried,male,1.0,3.0,deluxe,3.0,2.0,0,2,manager,268440.0,0,Married,Car Ownership,No Children
50.0,Company Invited,2,1260.0,Salaried,male,1.0,3.0,standard,3.0,1.0,0,2,senior manager,362580.0,0,Single,Car Ownership,No Children
33.0,,1,,Salaried,female,1.0,3.0,deluxe,3.0,1.0,0,1,manager,282075.0,0,Married,Car Ownership,No Children
35.0,Company Invited,1,780.0,Large Business,female,1.0,3.0,standard,4.0,1.0,0,1,senior manager,356760.0,0,Married,Car Ownership,No Children
59.0,Company Invited,2,480.0,Small Business,male,1.0,3.0,standard,3.0,1.0,0,2,senior manager,364980.0,0,Married,Car Ownership,No Children
70.0,Company Invited,2,840.0,Small Business,male,1.0,3.0,standard,3.0,5.0,0,2,manager,350310.0,0,Married,Car Ownership,No Children
32.0,Company Invited,2,1500.0,Salaried,male,1.0,4.0,standard,3.0,3.0,0,2,senior manager,429570.0,1,Unmarried,No Car Ownership,No Children
47.0,Self Enquiry,1,900.0,Small Business,female,1.0,3.0,basic,3.0,1.0,0,1,executive,272475.0,0,Divorced,No Car Ownership,No Children
42.0,Company Invited,2,960.0,Small Business,male,1.0,3.0,basic,3.0,2.0,0,1,executive,273840.0,0,Divorced,Car Ownership,No Children
53.0,Self Enquiry,1,720.0,Salaried,male,1.0,3.0,standard,3.0,1.0,0,1,senior manager,372150.0,0,Unmarried,Car Ownership,No Children
56.0,Self Enquiry,1,660.0,Salaried,male,1.0,3.0,super deluxe,4.0,5.0,0,1,avp,462615.0,0,Married,Car Ownership,No Children
33.0,Company Invited,1,660.0,Salaried,male,1.0,3.0,standard,3.0,5.0,0,2,senior manager,345690.0,0,Unmarried,Car Ownership,No Children
58.0,Company Invited,1,840.0,Salaried,female,1.0,3.0,deluxe,3.0,4.0,0,1,manager,397245.0,0,Unmarried,Car Ownership,No Children
33.0,Company Invited,2,960.0,Salaried,female,1.0,3.0,deluxe,3.0,5.0,0,2,manager,297855.0,0,Married,Car Ownership,No Children
32.0,Company Invited,1,540.0,Small Business,male,1.0,3.0,basic,3.0,1.0,0,1,executive,269895.0,0,Single,Car Ownership,No Children
50.0,Company Invited,2,960.0,Salaried,male,1.0,3.0,standard,4.0,5.0,1,1,senior manager,427050.0,1,Married,Car Ownership,No Children
40.0,Company Invited,1,840.0,Salaried,female,1.0,3.0,standard,3.0,2.0,1,1,senior manager,418080.0,0,Unmarried,Car Ownership,No Children
80.0,Company Invited,2,1020.0,Large Business,male,1.0,3.0,basic,3.0,2.0,1,2,executive,264615.0,1,Single,Car Ownership,No Children
47.0,Self Enquiry,2,900.0,Small Business,male,1.0,3.0,standard,3.0,2.0,1,1,senior manager,415545.0,0,Single,Car Ownership,No Children
47.0,Company Invited,2,600.0,Large Business,male,1.0,3.0,basic,3.0,1.0,1,2,executive,258915.0,1,Divorced,Car Ownership,No Children
52.0,Company Invited,2,960.0,Salaried,female,1.0,3.0,super deluxe,4.0,5.0,0,1,avp,507870.0,0,Single,Car Ownership,No Children
29.0,Company Invited,2,780.0,Small Business,male,1.0,5.0,deluxe,3.0,7.0,0,1,manager,303960.0,0,Divorced,Car Ownership,No Children
44.0,Self Enquiry,2,420.0,Small Business,male,1.0,5.0,deluxe,3.0,1.0,0,2,manager,309645.0,0,Married,No Car Ownership,No Children
54.0,Company Invited,1,720.0,Small Business,male,2.0,4.0,standard,3.0,2.0,0,1,senior manager,400000.0,0,Divorced,Car Ownership,No Children
51.0,Company Invited,2,420.0,Salaried,male,2.0,4.0,super deluxe,3.0,3.0,0,2,avp,479610.0,0,Married,Car Ownership,No Children
59.0,Company Invited,1,780.0,Salaried,male,2.0,4.0,super deluxe,3.0,4.0,0,1,avp,463050.0,0,Married,Car Ownership,No Children
25.0,Company Invited,1,420.0,Small Business,male,2.0,4.0,basic,3.0,2.0,0,2,executive,270735.0,0,Single,Car Ownership,No Children
29.0,Company Invited,1,900.0,Salaried,female,2.0,4.0,basic,3.0,5.0,0,2,executive,263865.0,0,Divorced,Car Ownership,No Children
21.0,Self Enquiry,2,780.0,Small Business,female,2.0,4.0,basic,3.0,3.0,0,2,executive,316770.0,1,Married,Car Ownership,No Children
56.0,Self Enquiry,1,600.0,Small Business,male,2.0,4.0,super deluxe,3.0,6.0,0,1,avp,400000.0,0,Married,Car Ownership,No Children
50.0,Self Enquiry,3,360.0,Small Business,female,2.0,4.0,standard,3.0,4.0,0,2,senior manager,358935.0,0,Unmarried,Car Ownership,No Children
57.0,Company Invited,1,480.0,Small Business,female,2.0,4.0,basic,3.0,2.0,0,2,executive,263010.0,0,Single,Car Ownership,No Children
37.0,Company Invited,1,780.0,Large Business,male,2.0,4.0,basic,4.0,7.0,0,2,executive,273900.0,1,Divorced,Car Ownership,No Children
20.0,Self Enquiry,1,780.0,Salaried,male,2.0,4.0,basic,3.0,2.0,0,2,executive,257295.0,0,Divorced,Car Ownership,No Children
53.0,Company Invited,2,840.0,Small Business,male,2.0,4.0,standard,4.0,5.0,0,2,senior manager,438195.0,0,Unmarried,Car Ownership,No Children
30.0,Company Invited,1,480.0,Small Business,male,2.0,4.0,basic,3.0,2.0,0,1,executive,267480.0,0,Divorced,Car Ownership,No Children
35.0,Company Invited,3,720.0,Salaried,male,2.0,4.0,standard,4.0,1.0,0,2,senior manager,438210.0,0,Divorced,Car Ownership,No Children
36.0,Company Invited,1,660.0,Small Business,female,2.0,4.0,standard,3.0,2.0,0,2,senior manager,371820.0,0,Divorced,Car Ownership,No Children
36.0,Company Invited,3,1080.0,Small Business,female,2.0,5.0,standard,3.0,1.0,0,1,senior manager,300000.0,0,Divorced,Car Ownership,No Children
38.0,Self Enquiry,2,300.0,Salaried,male,2.0,4.0,standard,3.0,5.0,0,2,senior manager,410000.0,0,Divorced,Car Ownership,No Children
49.0,Self Enquiry,3,900.0,Small Business,female,2.0,4.0,standard,4.0,2.0,0,1,senior manager,370000.0,0,Married,Car Ownership,No Children
37.0,Self Enquiry,1,1860.0,Large Business,female,2.0,4.0,standard,3.0,2.0,0,1,senior manager,393705.0,0,Unmarried,Car Ownership,No Children
50.0,Self Enquiry,2,840.0,Small Business,female,2.0,4.0,basic,3.0,5.0,1,2,executive,263730.0,1,Single,Car Ownership,No Children
51.0,Self Enquiry,2,600.0,Salaried,male,2.0,4.0,standard,3.0,3.0,1,2,senior manager,366900.0,0,Single,Car Ownership,No Children
43.0,Self Enquiry,2,660.0,Small Business,male,2.0,4.0,basic,3.0,5.0,1,2,executive,262560.0,1,Divorced,Car Ownership,No Children
50.0,Self Enquiry,2,900.0,Small Business,female,2.0,4.0,deluxe,3.0,2.0,1,1,manager,437895.0,0,Divorced,Car Ownership,No Children
,Self Enquiry,1,540.0,Large Business,male,1.0,3.0,basic,3.0,1.0,0,3,executive,269235.0,0,Married,Car Ownership,No Children
54.0,Self Enquiry,2,960.0,Small Business,male,1.0,1.0,super deluxe,4.0,1.0,1,4,avp,428610.0,0,Married,Car Ownership,No Children
,Company Invited,2,900.0,Large Business,female,1.0,4.0,basic,3.0,1.0,0,3,executive,243540.0,1,Single,Car Ownership,No Children
26.0,Company Invited,2,1020.0,Salaried,female,1.0,3.0,basic,3.0,2.0,0,4,executive,256455.0,0,Single,Car Ownership,No Children
40.0,Company Invited,1,1380.0,Salaried,male,1.0,3.0,basic,3.0,1.0,0,5,executive,252360.0,0,Married,Car Ownership,No Children
31.0,Company Invited,3,840.0,Salaried,female,1.0,3.0,basic,3.0,2.0,0,3,executive,260000.0,0,Divorced,Car Ownership,No Children
27.0,Company Invited,2,900.0,Salaried,female,1.0,1.0,basic,3.0,2.0,0,3,executive,256890.0,0,Married,Car Ownership,No Children
40.0,Self Enquiry,1,660.0,Salaried,female,1.0,2.0,deluxe,3.0,1.0,0,3,manager,331515.0,0,Single,No Car Ownership,No Children
,Company Invited,1,1020.0,Salaried,female,1.0,3.0,deluxe,3.0,6.0,1,4,manager,270870.0,1,Married,No Car Ownership,No Children
33.0,Self Enquiry,2,540.0,Small Business,male,2.0,4.0,basic,3.0,1.0,0,4,executive,320000.0,1,Single,Car Ownership,No Children
20.0,Self Enquiry,2,2100.0,Small Business,male,2.0,4.0,basic,3.0,3.0,0,3,executive,262500.0,1,Married,Car Ownership,No Children
58.0,Company Invited,2,900.0,Small Business,female,2.0,4.0,basic,3.0,2.0,0,3,executive,266790.0,0,Divorced,Car Ownership,No Children
33.0,Self Enquiry,1,1020.0,Small Business,female,2.0,4.0,basic,4.0,2.0,1,3,executive,271980.0,1,Single,Car Ownership,No Children
20.0,Company Invited,2,660.0,Small Business,male,2.0,4.0,basic,3.0,2.0,1,4,executive,300000.0,1,Single,Car Ownership,No Children
32.0,Self Enquiry,2,1680.0,Small Business,male,2.0,4.0,basic,3.0,5.0,1,4,executive,349995.0,1,Divorced,Car Ownership,No Children
34.0,Self Enquiry,2,1200.0,Salaried,female,2.0,4.0,basic,3.0,7.0,0,4,executive,270405.0,1,Divorced,Car Ownership,No Children
20.0,Company Invited,2,900.0,Salaried,female,2.0,4.0,basic,3.0,7.0,0,3,executive,295065.0,1,Single,Car Ownership,No Children
51.0,Self Enquiry,2,900.0,Small Business,female,1.0,4.0,basic,3.0,2.0,0,2,executive,274395.0,0,Divorced,Car Ownership,No Children
40.0,Company Invited,2,420.0,Salaried,male,1.0,4.0,super deluxe,3.0,5.0,0,2,avp,280200.0,0,Divorced,Car Ownership,No Children
26.0,Company Invited,3,660.0,Salaried,male,1.0,4.0,standard,3.0,3.0,1,2,senior manager,370000.0,1,Married,Car Ownership,No Children
22.0,Company Invited,2,540.0,Large Business,male,1.0,4.0,basic,3.0,2.0,1,2,executive,254535.0,1,Single,Car Ownership,No Children
46.0,Self Enquiry,1,600.0,Salaried,male,2.0,3.0,deluxe,3.0,3.0,0,2,manager,,0,Married,Car Ownership,No Children
21.0,Self Enquiry,1,540.0,Small Business,female,2.0,3.0,basic,3.0,3.0,0,1,executive,258405.0,0,Single,Car Ownership,No Children
24.0,Company Invited,2,840.0,Salaried,male,2.0,3.0,standard,3.0,3.0,0,2,senior manager,344400.0,1,Single,Car Ownership,No Children
45.0,Self Enquiry,2,720.0,Salaried,male,2.0,3.0,deluxe,3.0,5.0,0,2,manager,330000.0,0,Divorced,Car Ownership,No Children
33.0,Self Enquiry,1,420.0,Small Business,female,2.0,3.0,basic,3.0,1.0,0,1,executive,254205.0,0,Divorced,Car Ownership,No Children
33.0,Company Invited,1,960.0,Salaried,male,2.0,3.0,deluxe,3.0,2.0,0,2,manager,288480.0,0,Divorced,Car Ownership,No Children
56.0,Company Invited,2,900.0,Salaried,female,2.0,3.0,super deluxe,3.0,2.0,0,2,avp,500000.0,0,Married,Car Ownership,No Children
36.0,Self Enquiry,1,780.0,Salaried,female,2.0,3.0,standard,3.0,2.0,0,2,senior manager,500000.0,0,Married,Car Ownership,No Children
41.0,Company Invited,1,1020.0,Salaried,male,2.0,3.0,super deluxe,4.0,3.0,0,2,avp,413865.0,0,Single,Car Ownership,No Children
50.0,Self Enquiry,2,360.0,Small Business,male,2.0,3.0,super deluxe,4.0,1.0,0,2,avp,460000.0,0,Divorced,Car Ownership,No Children
31.0,Self Enquiry,1,1020.0,Large Business,female,2.0,4.0,basic,3.0,5.0,0,1,executive,257340.0,0,Single,Car Ownership,No Children
22.0,Company Invited,3,960.0,Salaried,female,2.0,3.0,basic,3.0,2.0,0,1,executive,255405.0,0,Single,Car Ownership,No Children
38.0,Company Invited,2,960.0,Small Business,female,2.0,3.0,basic,4.0,5.0,0,2,executive,270000.0,1,Single,Car Ownership,No Children
38.0,Company Invited,1,1080.0,Small Business,female,1.0,3.0,basic,3.0,5.0,0,3,executive,249315.0,0,Single,Car Ownership,No Children
31.0,Company Invited,2,960.0,Salaried,male,2.0,3.0,basic,3.0,2.0,0,1,executive,259680.0,0,Divorced,Car Ownership,No Children
18.0,Company Invited,2,480.0,Large Business,male,2.0,3.0,basic,3.0,7.0,0,2,executive,242280.0,1,Single,Car Ownership,No Children
52.0,Company Invited,3,480.0,Small Business,male,1.0,3.0,king,3.0,1.0,0,5,vp,274515.0,0,Single,Car Ownership,No Children
45.0,Company Invited,3,540.0,Large Business,female,1.0,3.0,basic,3.0,4.0,0,3,executive,264480.0,0,Married,No Car Ownership,No Children
30.0,Company Invited,1,720.0,Small Business,female,2.0,3.0,basic,3.0,5.0,0,1,executive,258390.0,0,Divorced,Car Ownership,No Children
38.0,Company Invited,2,840.0,Salaried,male,2.0,3.0,deluxe,3.0,2.0,0,2,manager,260310.0,1,Single,Car Ownership,No Children
43.0,Company Invited,2,480.0,Salaried,male,2.0,3.0,standard,3.0,2.0,0,1,senior manager,445575.0,0,Divorced,Car Ownership,No Children
43.0,Self Enquiry,3,960.0,Small Business,male,2.0,3.0,standard,4.0,2.0,0,1,senior manager,436320.0,0,Single,Car Ownership,No Children
35.0,Company Invited,3,960.0,Salaried,female,2.0,4.0,deluxe,3.0,3.0,0,1,manager,371775.0,0,Married,Car Ownership,No Children
26.0,Company Invited,1,840.0,Small Business,female,1.0,3.0,basic,3.0,2.0,0,4,executive,267015.0,1,Single,Car Ownership,No Children
46.0,Company Invited,3,1020.0,Large Business,female,2.0,3.0,standard,4.0,5.0,0,2,senior manager,336735.0,0,Divorced,Car Ownership,No Children
52.0,Self Enquiry,2,1020.0,Small Business,male,2.0,3.0,standard,4.0,2.0,0,1,senior manager,404385.0,0,Single,Car Ownership,No Children
39.0,Self Enquiry,1,420.0,Salaried,male,2.0,3.0,standard,3.0,2.0,0,2,senior manager,365130.0,0,Divorced,Car Ownership,No Children
46.0,Self Enquiry,2,540.0,Large Business,female,2.0,3.0,super deluxe,4.0,2.0,0,2,avp,483855.0,0,Single,Car Ownership,unknown
43.0,Self Enquiry,1,960.0,Salaried,female,2.0,3.0,king,4.0,1.0,0,1,vp,474720.0,0,Single,Car Ownership,No Children
46.0,Self Enquiry,1,780.0,Small Business,male,2.0,3.0,basic,3.0,4.0,0,2,executive,257970.0,0,Single,No Car Ownership,No Children
40.0,Self Enquiry,1,1020.0,Small Business,female,2.0,3.0,basic,3.0,1.0,0,2,executive,268350.0,0,Single,Car Ownership,No Children
50.0,Self Enquiry,1,1020.0,Salaried,female,2.0,3.0,deluxe,3.0,1.0,0,2,manager,400320.0,0,Married,Car Ownership,No Children
55.0,Self Enquiry,2,480.0,Salaried,female,1.0,3.0,king,3.0,2.0,0,3,vp,420780.0,0,Married,Car Ownership,No Children
50.0,Company Invited,1,780.0,Salaried,male,1.0,3.0,standard,3.0,1.0,0,4,executive,269235.0,0,Divorced,No Car Ownership,No Children
58.0,Self Enquiry,2,660.0,Salaried,male,2.0,3.0,basic,3.0,2.0,1,1,executive,270540.0,0,Single,Car Ownership,No Children
27.0,Self Enquiry,2,420.0,Salaried,female,2.0,3.0,basic,3.0,1.0,1,2,executive,258285.0,1,Divorced,Car Ownership,No Children
50.0,Self Enquiry,2,900.0,Salaried,female,2.0,3.0,standard,3.0,2.0,1,1,senior manager,274380.0,1,Single,Car Ownership,No Children
36.0,Company Invited,3,840.0,Small Business,female,2.0,3.0,super deluxe,3.0,4.0,1,1,avp,431010.0,0,Single,Car Ownership,No Children
50.0,Company Invited,3,780.0,Salaried,female,2.0,3.0,standard,3.0,2.0,1,2,senior manager,373845.0,0,Unmarried,Car Ownership,No Children
34.0,Company Invited,2,840.0,Small Business,male,3.0,5.0,basic,3.0,6.0,0,1,executive,,0,Single,Car Ownership,No Children
24.0,Company Invited,3,900.0,Salaried,female,3.0,4.0,standard,3.0,2.0,0,2,senior manager,353670.0,0,Married,Car Ownership,No Children
53.0,Self Enquiry,1,840.0,Salaried,male,3.0,4.0,super deluxe,3.0,3.0,0,2,avp,449715.0,0,Single,Car Ownership,No Children
38.0,Self Enquiry,2,600.0,Salaried,female,3.0,4.0,standard,3.0,1.0,0,2,senior manager,398475.0,0,Divorced,Car Ownership,No Children
45.0,Self Enquiry,1,480.0,Salaried,female,3.0,4.0,standard,3.0,2.0,0,2,senior manager,390000.0,0,Unmarried,Car Ownership,No Children
50.0,Self Enquiry,1,2160.0,Small Business,male,3.0,4.0,super deluxe,3.0,3.0,0,1,avp,490000.0,0,Married,Car Ownership,unknown
38.0,Self Enquiry,3,840.0,Small Business,male,3.0,4.0,basic,4.0,2.0,0,2,executive,265110.0,0,Single,Car Ownership,No Children
41.0,Self Enquiry,1,480.0,Large Business,male,3.0,4.0,super deluxe,3.0,3.0,0,2,avp,385905.0,0,Single,Car Ownership,No Children
39.0,Self Enquiry,1,540.0,Small Business,female,1.0,3.0,standard,3.0,3.0,0,2,senior manager,411855.0,0,Single,Car Ownership,No Children
30.0,Self Enquiry,1,480.0,Salaried,male,1.0,3.0,basic,3.0,1.0,0,2,executive,257025.0,0,Divorced,Car Ownership,No Children
27.0,Company Invited,1,480.0,Small Business,male,1.0,3.0,basic,3.0,1.0,0,1,executive,264345.0,0,Single,Car Ownership,No Children
40.0,Self Enquiry,2,480.0,Small Business,male,1.0,3.0,basic,3.0,7.0,0,2,executive,251850.0,1,Single,No Car Ownership,No Children
46.0,Self Enquiry,1,660.0,Small Business,male,1.0,3.0,king,3.0,6.0,0,2,vp,467460.0,0,Divorced,Car Ownership,No Children
40.0,Company Invited,1,420.0,Salaried,female,1.0,3.0,super deluxe,3.0,2.0,0,2,avp,476955.0,0,Married,No Car Ownership,No Children
52.0,Company Invited,1,960.0,Small Business,male,1.0,3.0,basic,3.0,4.0,0,2,executive,277005.0,0,Single,Car Ownership,No Children
30.0,Self Enquiry,1,420.0,Large Business,female,2.0,4.0,basic,3.0,2.0,0,2,executive,245340.0,0,Single,Car Ownership,No Children
43.0,Self Enquiry,1,540.0,Small Business,female,2.0,4.0,basic,3.0,1.0,0,2,executive,278595.0,0,Divorced,Car Ownership,No Children
27.0,Company Invited,2,900.0,Large Business,male,2.0,4.0,basic,3.0,6.0,1,2,executive,296055.0,1,Single,No Car Ownership,No Children
36.0,Self Enquiry,2,480.0,Salaried,male,2.0,4.0,basic,3.0,2.0,0,2,executive,264990.0,0,Single,Car Ownership,No Children
40.0,Company Invited,1,840.0,Small Business,female,1.0,100.0,standard,3.0,1.0,0,1,senior manager,430470.0,0,Married,Car Ownership,No Children
33.0,Company Invited,2,1080.0,Small Business,male,1.0,3.0,super deluxe,3.0,1.0,0,1,avp,342585.0,1,Single,No Car Ownership,No Children
31.0,Company Invited,2,960.0,Large Business,female,1.0,3.0,basic,3.0,1.0,0,2,executive,260000.0,1,Single,No Car Ownership,No Children
31.0,Company Invited,2,840.0,Salaried,female,1.0,3.0,deluxe,3.0,2.0,0,1,manager,332460.0,0,Single,Car Ownership,No Children
28.0,Company Invited,1,840.0,Salaried,male,1.0,,deluxe,3.0,3.0,0,2,manager,300000.0,0,Single,Car Ownership,No Children
26.0,Self Enquiry,2,1080.0,Small Business,male,1.0,1.0,basic,3.0,5.0,0,2,executive,256650.0,1,Divorced,Car Ownership,No Children
,Company Invited,1,780.0,Small Business,male,1.0,3.0,basic,3.0,2.0,0,1,executive,275160.0,0,Divorced,No Car Ownership,No Children
55.0,Self Enquiry,1,1440.0,Small Business,male,2.0,3.0,super deluxe,3.0,7.0,0,2,avp,428025.0,0,Married,Car Ownership,unknown
58.0,Self Enquiry,1,960.0,Salaried,male,1.0,1.0,super deluxe,3.0,6.0,0,1,avp,461010.0,0,Married,Car Ownership,No Children
31.0,Company Invited,3,960.0,Small Business,male,1.0,3.0,basic,3.0,2.0,0,1,executive,245805.0,0,Divorced,Car Ownership,No Children
32.0,Company Invited,2,900.0,Small Business,male,1.0,3.0,basic,3.0,3.0,0,2,executive,256545.0,1,Single,Car Ownership,No Children
60.0,Self Enquiry,1,660.0,Small Business,male,1.0,1.0,super deluxe,4.0,6.0,1,1,avp,400000.0,0,Married,Car Ownership,No Children
33.0,Self Enquiry,2,1380.0,Small Business,female,1.0,1.0,basic,3.0,2.0,1,1,executive,260445.0,0,Divorced,Car Ownership,No Children
27.0,Company Invited,2,360.0,Large Business,male,1.0,3.0,standard,3.0,2.0,1,2,senior manager,440280.0,1,Single,Car Ownership,No Children
50.0,Self Enquiry,2,720.0,Salaried,male,2.0,4.0,super deluxe,3.0,2.0,0,2,avp,481905.0,0,Single,Car Ownership,No Children
25.0,Self Enquiry,2,960.0,Small Business,male,3.0,5.0,basic,3.0,3.0,0,1,executive,333030.0,1,Divorced,Car Ownership,No Children
28.0,Company Invited,2,540.0,Small Business,male,3.0,5.0,basic,3.0,7.0,0,2,executive,310575.0,1,Single,Car Ownership,No Children
50.0,Self Enquiry,1,1080.0,Large Business,male,3.0,5.0,basic,3.0,5.0,0,2,executive,306420.0,1,Single,Car Ownership,No Children
27.0,Self Enquiry,1,540.0,Salaried,male,3.0,5.0,basic,4.0,2.0,1,1,executive,270780.0,1,Divorced,Car Ownership,No Children
22.0,Self Enquiry,2,840.0,Salaried,male,2.0,5.0,basic,3.0,3.0,0,2,executive,310245.0,1,Single,Car Ownership,No Children
49.0,Company Invited,1,540.0,Salaried,male,1.0,3.0,super deluxe,3.0,6.0,0,2,avp,502545.0,0,Single,Car Ownership,No Children
